Site Acronym	Site Name	Grant Prefix-Grant Number	Site Ecosystem	Latitude	Longitude	Elevation
AND	Andrews Forest LTER	DEB-2025755	Coniferous Forest	44.212	-122.256	1020
ARC	Arctic LTER	DEB-2220863	Arctic Tundra	68.633333	-149.606667	760
BES	Baltimore Ecosystem Study	DEB-1855277	Urban Ecosystem	39.1	-76.3	2
BLE	Beaufort Lagoon Ecosystems LTER	OPP-1656026	Estuary	71.3379	-156.4165	-
BNZ	Bonanza Creek LTER	DEB-1636476	Taiga	64.8585	-147.847	365
CCE	California Current Ecosystem LTER	OCE-2224726	Marine	32.8736	-120.28	10
CDR	Cedar Creek Ecosystem Science Reserve	DEB-1831944	Savanna/Tallgrass Prairie	45.401	-93.201	282
CAP	Central Arizona - Phoenix LTER	DEB-1637590	Urban Ecosystem	33.427	-111.933	340
CWT	Coweeta LTER	DEB-1637522	Deciduous Forest	35	-83.5	686
FCE	Florida Coastal Everglades LTER	DEB-2025954	Freshwater Marsh/Estuary	25.4682	-80.8533	0
GCE	Georgia Coastal Ecosystems LTER	OCE-1832178	Salt Marsh/Estuary	31.427	-81.371	0
HFR	Harvard Forest LTER	DEB-1832210	Deciduous Forest	42.53	-72.19	330
HBR	Hubbard Brook LTER	DEB-1637685	Deciduous Forest	43.94	-71.751	590
JRN	Jornada Basin LTER	DEB-2025166	Desert	32.6179	-106.74	1188
KBS	Kellogg Biological Station LTER	DEB-1637653	Row Crop Agriculture	42.4	-85.4	288
KNZ	Konza Prairie LTER	DEB-20205849	Tallgrass Prairie	39.093	-96.575	382
LNO	LTER Network Office (UCSB)	DEB-1929393	Administrative	34.4195	-119.699	-
LUQ	Luquillo LTER	DEB-1831952	Tropical Rainforest	18.3	-65.8	350
MCM	McMurdo Dry Valleys LTER	OPP-1637708	Polar Desert	-77.62317	162.90054	437
MSP	Minneapolis-St. Paul LTER	DEB-2045382	Urban	44.985844	-93.182944	-
MCR	Moorea Coral Reef LTER	OCE-2224354	Coral Reef	-17.4909	-149.826	0
NWT	Niwot Ridge LTER	DEB-1637686	Alpine Tundra	40.05411	-105.5891	3528
NTL	North Temperate Lakes LTER	DEB-20205982	Temperate Lake	46.0124	-89.672	497
NES	Northeast U.S. Shelf	OCE-1655686	Marine	40.6967	-70.8833	0
NGA	Northern Gulf of Alaska	OCE-1656070	Subarctic Marine	59.045	-148.7	0
PAL	Palmer Antarctica LTER	OPP-1440435	Polar Marine	-64.7742	-64.0545	10
PIE	Plum Island Ecosystems LTER	OCE-2224608	Estuary	42.759	-70.891	0
SBC	Santa Barbara Coastal LTER	OCE-1831937	Semiarid Coastal and Marine	34.4125	-119.842	0
SEV	Sevilleta LTER	DEB-1655499	Desert/Grassland	34.353	-106.882	1478
VCR	Virginia Coast Reserve LTER	DEB-1832221	Barrier Island/Lagoon	37.283	-75.913	0