StnID,CLASS,UsedInFDCStudy,DRAIN_SQKM,BAS_COMPACTNESS,LAT_CENT,LONG_CENT,PPTAVG_BASIN,T_AVG_BASIN,RH_BASIN,FST32F_BASIN,LST32F_BASIN,WD_BASIN,WDMAX_BASIN,WDMIN_BASIN,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,PERHOR,TOPWET,CONTACT,WB5100_ANN_MM,FORESTNLCD06,BARRENNLCD06,SHRUBNLCD06,GRASSNLCD06,HGB,HGC,HGD,AWCAVE,PERMAVE,BDAVE,OMAVE,ROCKDEPAVE,NO4AVE,NO200AVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,ELEV_MEDIAN_M_BASIN,RRMEDIAN,SLOPE_PCT,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS,DJF_PPT7100_CM,MAM_PPT7100_CM,JJA_PPT7100_CM,SON_PPT7100_CM,WB5100_MON_PHASE,JUL_JAN_TMP_DIFF_DEGC,ELEV_RANGE_M_BASIN
08227500,Ref,FALSE,33.3,2.38,38.037635,-105.644215,78.29,2.23,50.8,249.6,173.8,89.1,12.9,4.9,383.7,47.6,0.109,0,9.04,7.6,471.9,44.54,7.62,0.23,39.75,37.73,24.72,26.8,0.08,3.59,1.41,2.04,42.32,57.12,25.35,15.02,37.18,47.8,0.13,45.6,3495,0.57,50.4,248.4,-0.369,-0.93,14.33,20.7,24.25,18.58,3.791266599,20.19,1659
08236000,Ref,FALSE,275.2,1.6,37.397486,-106.520395,97.65,1.96,51,249.5,172.8,99.8,12,5.3,364.4,62.7,0.12,1,10.04,20.9,461.5,65.68,3.43,0.16,24.53,54.19,23.87,16.02,0.09,3.23,1.39,1.17,49.03,62.8,31.87,18.6,39.27,42.13,0.12,62.06,3364,0.527,27,118.8,-0.482,0.876,24.61,26.58,19.28,26.82,3.947527113,20,1401
08240500,Ref,FALSE,136.9,3.39,37.342683,-105.226455,59.28,2.9,56.3,256.3,168.5,83.3,10.6,4.6,396.6,44.3,0.066,1.2,9.66,8.6,302.2,78.88,1.04,1.22,17.61,61.67,23.43,12.15,0.08,3.25,1.43,0.82,50.4,61,28.57,19.17,33.57,47.26,0.15,72.66,3222,0.41,31.1,305.7,0.583,-0.812,11.94,18.86,14.73,13.61,3.260685277,19.72,1512
08253500,Ref,FALSE,6.6,2.19,36.893995,-105.310292,73.26,3.78,52.4,257,165.2,85.8,11.3,5.3,413.8,39,0.07,0,8.45,9.5,179.1,71.82,8.26,0,18.74,67.46,23.16,8.13,0.08,3.03,1.44,0.61,51.61,60.08,28.52,20.17,33.11,46.71,0.15,67.49,3405,0.488,30.3,110.8,-0.356,0.935,14.18,22.4,20.68,16.38,2.872488408,18.51,1048
08263000,Ref,FALSE,28.6,2.68,36.823924,-105.493972,72.5,3.18,52,259.3,166.3,89.1,12,5.4,399.2,38.7,0.067,0,9.15,5.2,303.5,83.16,6.94,0.21,9.36,50.28,29.67,20.06,0.09,5.08,1.38,0.14,48.81,63.3,42.59,21.34,53.04,25.61,0.16,56.85,3361,0.623,33.8,327.4,0.843,-0.539,13.98,22.06,19.85,16.77,3.424489487,19.25,1358
08267500,Ref,TRUE,96.3,2.36,36.579031,-105.483698,72.44,2.88,51.4,254.3,170.5,87.5,12.2,5.2,390.2,38.9,0.079,0,9.26,3.8,349,82.48,6.58,0.48,9.52,50.3,29.78,19.92,0.09,5.04,1.38,0.14,48.85,63.47,42.7,21.36,53.04,25.6,0.16,61.37,3194,0.515,44.4,264.2,-0.101,-0.995,14.1,20.84,21.2,16.46,3.614078386,19.47,1661
08269000,Ref,TRUE,163.3,2.72,36.467709,-105.410891,63.82,3.48,51.5,248.8,171.2,84.3,12.2,5.1,409.5,30.5,0.104,0,9.77,8.5,122.4,94.47,0.61,0.3,4.48,54.11,25.76,20.12,0.09,4.23,1.39,0.17,50.6,64.34,41.71,23.57,47.78,28.66,0.17,54.03,2904,0.373,31.2,173.3,-0.993,0.116,12.35,16.99,20.05,14.45,2.868402781,19.99,1730
08271000,Ref,TRUE,43.8,2.45,36.518195,-105.460037,76,2.58,50.6,251,172.7,92,12,5.6,386.4,34.6,0.072,0,9.46,5.4,228.9,67.69,10.52,0.4,21.18,54.47,21.29,24.24,0.09,4.31,1.37,0.39,52.09,63.32,39.3,21.57,46.71,31.72,0.16,65.53,3314,0.559,44.1,260.9,-0.157,-0.988,15.21,21.64,22.04,17.13,3.356196991,19.19,1528
08275600,Ref,FALSE,98.5,1.49,36.313101,-105.456613,67.75,3.02,52.8,247.9,173.6,86.9,12.3,5.1,404.2,36.4,0.096,4.1,9.77,21.5,280.9,94.52,0,1.69,3.58,74.1,13.06,12.84,0.09,1.55,1.42,0.11,60,72.16,41.9,31.1,31.3,37.6,0.19,68.22,2882,0.537,26.4,281,0.191,-0.982,13.44,17.71,21.22,15.33,3.211832159,20.37,1267
08277470,Ref,TRUE,258,2.31,36.125836,-105.502771,82.04,2,52.2,249.7,176.5,90.9,12.7,5.3,369.5,36.6,0.073,13.4,10.04,27.8,370.3,87.94,0.6,0.45,10.44,84.49,0.33,15.18,0.1,1.28,1.42,0.15,59.79,76.06,43.6,27.65,33.69,38.66,0.17,100.57,3005,0.408,25.8,61.8,0.472,0.881,17.18,20.74,25.61,18.4,3.469479275,19.71,1530
08294195,Ref,TRUE,78.6,2.27,35.841118,-105.808247,73.93,3.2,49.1,253,174.4,74.6,11.4,4.2,399.9,36.7,0.115,3.1,9.46,9.8,437.6,85.94,1.26,3.78,8.98,45.56,21.06,33.39,0.09,3.82,1.39,0.15,45.11,69.44,45.47,21.29,50.78,27.93,0.17,71.5,2865,0.438,34.2,291.1,0.36,-0.933,14.88,16.76,24.75,17.77,3.95366288,19.72,1740
08302500,Ref,TRUE,29.7,1.81,35.757654,-105.840186,67.35,4.45,49,257.5,166.8,70.7,10.5,4,455,27.2,0.135,5.4,9.82,15.7,198.4,93.94,0,2.22,3.84,39.75,13.5,46.75,0.09,2.79,1.41,0.17,41.36,74.73,47.55,21.01,48.47,30.52,0.18,54.69,2698,0.335,27.7,270.8,0.013,-1,13.25,14.76,22.95,16.53,3.830955326,19.56,1461
08315480,Ref,TRUE,35.1,1.75,35.735136,-105.790164,81.06,3.38,49.3,253.5,173.5,76.6,11.3,4.4,401.7,27.1,0.097,1.1,9.47,6.7,221,94.02,0.85,0.91,4.19,50,30,20,0.09,5.07,1.38,0.14,48.75,63.37,42.69,21.34,53.17,25.49,0.16,71.34,2956,0.404,36.5,208.1,-0.882,-0.471,17.21,18.35,26.78,19.45,3.872712784,19.02,1360
08321500,Ref,FALSE,449.2,2.74,35.985076,-106.620493,68.06,5.38,52.2,268.2,158.3,81.8,12.5,4.6,457.8,29.4,0.12,1.6,11.08,23.3,183.7,72.34,0.24,1.22,23.79,79.41,7.54,6.02,0.09,4.69,1.44,0.42,56.88,64.21,31.55,16.07,34.83,49.11,0.26,81.85,2698,0.47,18.8,241.6,-0.476,-0.88,14.31,14.37,22.52,16.99,2.993022167,20.13,1383
08324000,Ref,TRUE,1207.9,2.26,35.892977,-106.673357,63.49,6.33,50.7,267.8,159.4,79.7,11.9,4.5,491.7,29.1,0.11,3.1,10.73,49.6,158.2,79.73,0.1,6.87,10.54,67.48,9.48,20.07,0.1,3.72,1.41,0.31,52.9,66.52,35.7,19.5,37.25,43.25,0.21,73.57,2613,0.521,18.3,192.2,-0.978,-0.211,13.55,13.6,20.46,15.95,2.97275109,20.41,1707
08340500,Ref,TRUE,3546.7,1.63,35.689865,-107.448814,29.76,9.34,50.2,274.5,146.9,58.6,8.8,3,611.6,14.9,0.292,6.5,11.73,250.9,13.5,13.73,0.72,46.22,39.11,39.53,10.98,41.02,0.14,2.98,1.44,0.37,45.96,94.06,52.48,23.81,34.03,42.17,0.27,19.02,2073,0.185,5.7,60.3,0.496,0.869,4.3,5.32,11.52,8.66,3.736260379,22.95,1460
08343100,Ref,TRUE,33.4,1.92,35.189385,-107.794134,29.93,9.65,45.2,276,143.1,59.5,9,3,615.6,15,0.352,7.3,9.99,126.2,12.9,25.43,0.46,55.89,11.42,33.22,9.07,56.43,0.12,1.6,1.43,0.19,53.03,85.54,51.09,29.57,33.01,37.41,0.17,18.7,2138,0.296,14.3,204.3,-0.912,-0.411,3.96,4.55,12.91,8.47,3.937521009,22.05,582
08354000,Ref,FALSE,3643.8,1.13,34.378247,-107.444212,34.07,10.73,42,280,138.9,52.6,9.7,2.2,643.4,9.4,0.402,0.3,11.26,158.5,12.8,18.13,0.36,66.98,14.34,35.91,7.76,53.73,0.11,2.22,1.47,0.44,39.4,73.69,43.72,24.58,39.07,36.35,0.19,31.61,2042,0.37,8.6,85.9,0.072,0.997,4.54,4.38,15.01,10.2,3.999684832,21.43,1594
08377900,Ref,TRUE,139,2.05,35.857527,-105.56476,89.76,2.81,48.6,253.5,173.2,96.1,14.3,4.8,380.6,31.6,0.11,12.9,9.68,18.8,524,84.07,0.81,1.28,13.6,73.1,13.27,13.63,0.1,2.96,1.41,0.17,55.03,68.49,41.55,22.74,43.83,33.43,0.18,124.92,3166,0.613,24.8,271.3,0.023,-1,17.24,21.59,30.41,20.34,3.8837852,18.89,1231
08378500,Ref,TRUE,445,2.61,35.849784,-105.62711,86.08,2.46,49.1,250.7,177.5,89.7,13.4,4.7,374.7,32.7,0.115,10.5,9.97,18.6,439.8,86.66,0.67,1.79,10.5,78.79,7.7,13.51,0.1,2.19,1.42,0.17,57.34,72.05,42.6,24.5,39.65,35.85,0.19,109.82,3087,0.474,26.5,213,-0.839,-0.545,16.91,19.97,29.36,19.88,3.85831659,19.07,1686
08380500,Ref,TRUE,198.1,2.1,35.725587,-105.440517,68.57,5.85,50.8,262.9,159.2,80.7,13.1,3.8,464.5,19.2,0.221,21,10.64,103.5,179.4,90.75,0.05,3,5.84,35.55,22.61,41.84,0.12,1.87,1.37,0.45,43.7,79.32,54.29,31.03,41.4,27.57,0.2,82.25,2635,0.369,25,129.5,-0.636,0.772,10.3,16.13,26.65,15.42,3.854149625,19.4,1452
08382730,Ref,TRUE,175.4,2.03,35.183774,-104.692772,39.91,13.37,51,292.1,117.8,51,8,2,766,4.7,0.397,5.3,12.1,349.4,17.7,0.15,0.05,5.11,94.68,41.08,27.84,31.08,0.15,1.34,1.44,0.5,39.19,95.26,52.87,23.56,32.74,43.7,0.3,54.83,1548,0.391,2.2,140.9,-0.776,0.631,3.8,7.8,18.15,10.04,3.869327561,21.94,238
08386505,Ref,TRUE,49,2.49,33.362547,-105.777289,86.38,6.58,48.8,269,160.1,78.3,13.6,3,465.7,16.4,0.326,0.1,9.23,25.3,224.1,77.35,0,18.37,4.02,28.77,37.65,33.58,0.1,0.9,1.35,0.77,40.25,69.43,42.45,28.28,38.15,33.56,0.24,94.94,2825,0.452,32.5,120.9,-0.514,0.858,16.57,9.97,38.77,21.1,-1.271435831,16.63,1474
08400000,Ref,TRUE,893.1,0.83,32.753663,-105.089373,40.67,14.15,47.9,295.4,113.5,48.1,8,2,772.4,2.7,0.44,3.8,11.99,305.7,20.5,0.69,0.05,77.68,21.37,28.74,11.63,57.38,0.1,1.3,1.42,1.09,37.56,70.21,49.15,26.24,48.58,25.18,0.22,68.31,1501,0.448,5.7,86.4,0.063,0.998,4.43,5.54,18.12,12.55,4.302357883,19.78,1095
08401200,Ref,TRUE,534,1.11,32.488895,-104.725408,41.15,14.84,48.5,299,107.5,48.2,7.6,2,810.8,1.7,0.446,3.7,11.75,267.4,22,4.48,0.17,93.03,2.16,29.01,11.31,58.13,0.1,1.27,1.42,1.07,35.52,70.86,48.48,25.12,47.33,27.55,0.22,78.7,1288,0.281,5.1,71.9,0.311,0.95,4.36,5.51,17.43,13.86,4.283431103,20.21,1023
08405105,Ref,TRUE,843.2,2,32.225397,-104.6275,45.1,14.94,50.1,307.7,99.5,51,7.9,2,797.4,2.1,0.465,3.7,11.31,155.9,27.1,20.67,0.03,73.74,5.47,15.34,15.41,67.71,0.1,1.46,1.44,0.94,32.43,69.02,45.05,24.88,44.89,30.23,0.18,88.84,1435,0.336,10.5,58.3,0.526,0.85,4.74,5.76,19.29,15.3,4.353348902,19.13,1149
08431700,Ref,TRUE,137.6,2.71,30.623543,-104.067151,52.96,13.42,50.9,302.3,103.7,64.6,10.7,2,700.4,1,0.478,1.9,10.45,27,33,46.38,0,50.58,2.4,6.06,13.98,76.32,0.08,1.48,1.42,1.44,22.07,53.07,32.6,39.68,28.91,31.41,0.1,118.31,1789,0.225,20.1,98.8,-0.153,0.988,5.52,7.04,25.96,14.48,4.305240759,16.03,911